scenario,p,a,y0,y_win
scenario_00__mode_singletons_phase2_fit_all__p_merge_0p1__a_0p5,0.1,0.5,2.6042096584114983e-05,2.3277583957940455e-05
scenario_01__mode_singletons_phase2_fit_all__p_merge_0p1__a_0p9,0.1,0.9,3.335570680762108e-05,3.168990366422501e-05
scenario_02__mode_singletons_phase2_fit_all__p_merge_0p1__a_1p3,0.1,1.3,3.917718536757449e-05,4.0383980494366704e-05
scenario_03__mode_singletons_phase2_fit_all__p_merge_0p1__a_1p7,0.1,1.7,4.5851876890172906e-05,4.774861399083828e-05
scenario_04__mode_singletons_phase2_fit_all__p_merge_0p1__a_2p1,0.1,2.1,5.094990181296709e-05,5.5272722199814934e-05
scenario_05__mode_singletons_phase2_fit_all__p_merge_0p1__a_2p5,0.1,2.5,5.607143479768376e-05,6.193970395902587e-05
scenario_06__mode_singletons_phase2_fit_all__p_merge_0p3__a_0p5,0.3,0.5,5.140219740311837e-05,4.180269906929686e-05
scenario_07__mode_singletons_phase2_fit_all__p_merge_0p3__a_0p9,0.3,0.9,7.15547044322722e-05,6.394414632983032e-05
scenario_08__mode_singletons_phase2_fit_all__p_merge_0p3__a_1p3,0.3,1.3,9.144580899072648e-05,8.675735088293906e-05
scenario_09__mode_singletons_phase2_fit_all__p_merge_0p3__a_1p7,0.3,1.7,0.0001105026762293,0.00010912481748534399
scenario_10__mode_singletons_phase2_fit_all__p_merge_0p3__a_2p1,0.3,2.1,0.0001306928476847,0.00013366916785684
scenario_11__mode_singletons_phase2_fit_all__p_merge_0p3__a_2p5,0.3,2.5,0.0001468974511962,0.00015691478412288
scenario_12__mode_singletons_phase2_fit_all__p_merge_0p5__a_0p5,0.5,0.5,5.980170528338119e-05,4.813224620525271e-05
scenario_13__mode_singletons_phase2_fit_all__p_merge_0p5__a_0p9,0.5,0.9,9.00463641451002e-05,7.756457091767643e-05
scenario_14__mode_singletons_phase2_fit_all__p_merge_0p5__a_1p3,0.5,1.3,0.0001150631682137,0.00010749399509664401
scenario_15__mode_singletons_phase2_fit_all__p_merge_0p5__a_1p7,0.5,1.7,0.0001464882540972,0.000141280798721416
scenario_16__mode_singletons_phase2_fit_all__p_merge_0p5__a_2p1,0.5,2.1,0.0001795568399448,0.000176301030299852
scenario_17__mode_singletons_phase2_fit_all__p_merge_0p5__a_2p5,0.5,2.5,0.0002116398525557,0.00021394595947731197
scenario_18__mode_singletons_phase2_fit_all__p_merge_0p7__a_0p5,0.7,0.5,6.192722637937265e-05,5.036967059509432e-05
scenario_19__mode_singletons_phase2_fit_all__p_merge_0p7__a_0p9,0.7,0.9,9.515988455071192e-05,8.296056322217528e-05
scenario_20__mode_singletons_phase2_fit_all__p_merge_0p7__a_1p3,0.7,1.3,0.0001314167536666,0.00011915570224335599
scenario_21__mode_singletons_phase2_fit_all__p_merge_0p7__a_1p7,0.7,1.7,0.0001683216269556,0.00015984245642266398
scenario_22__mode_singletons_phase2_fit_all__p_merge_0p7__a_2p1,0.7,2.1,0.0002114627543856,0.00020401574818184796
scenario_23__mode_singletons_phase2_fit_all__p_merge_0p7__a_2p5,0.7,2.5,0.000255578535694,0.000252104959469872
scenario_24__mode_singletons_phase2_fit_all__p_merge_0p9__a_0p5,0.9,0.5,5.878489025693686e-05,4.989985458286315e-05
scenario_25__mode_singletons_phase2_fit_all__p_merge_0p9__a_0p9,0.9,0.9,9.869810767433528e-05,8.656489839891972e-05
scenario_26__mode_singletons_phase2_fit_all__p_merge_0p9__a_1p3,0.9,1.3,0.0001397944023943,0.000126644550057572
scenario_27__mode_singletons_phase2_fit_all__p_merge_0p9__a_1p7,0.9,1.7,0.0001824660230782,0.00016935629605164398
scenario_28__mode_singletons_phase2_fit_all__p_merge_0p9__a_2p1,0.9,2.1,0.0002263424497815,0.00021994718156016
scenario_29__mode_singletons_phase2_fit_all__p_merge_0p9__a_2p5,0.9,2.5,0.0002823938836997,0.0002753802465835
